timestamp,model,mae,accuracy
2026-04-09T11:38:05.901Z,v1.0,63.5,0.5
2026-04-09T11:48:01.916Z,v1.0,63.5,0.5
2026-04-09T11:57:45.570Z,v1.0,63.5,0.5
2026-04-09T12:15:10.464Z,v1.0,63.5,0.5
2026-04-09T12:21:15.601Z,v1.0,63.5,0.5
2026-04-09T12:28:41.932Z,v1.0,35,1
2026-04-10T04:46:29.065Z,v1.0,35,1
2026-04-10T05:02:49.022Z,v1.0,35,1
2026-04-10T05:12:29.245Z,v1.0,35,1
2026-04-10T05:20:34.899Z,v1.0,35,1
2026-04-10T05:27:21.493Z,v1.0,35,1
2026-04-10T05:36:56.990Z,v1.0,35,1
2026-04-10T05:49:09.314Z,v1.0,undefined,1
2026-04-10T06:06:44.793Z,v1.0,undefined,1
2026-04-10T06:26:20.023Z,v1.0,undefined,1
2026-04-10T06:55:33.621Z,v1.0,undefined,1
2026-04-10T06:59:29.770Z,v1.0,undefined,1
